id,phase,activity,owner,start,due,deadline,depends_on,status,pct,deliverable,notes
PA06,Pilot analysis,"report.qmd: abstract, intro, survey design, sample, cleaning, modeling, power analysis, changes, appendix",Team,2026-10-30,2026-10-31,,PA03;PA04;PA05,Not started,0,Pilot Analysis,"Rubric: Report Contents 15 pts"
PA07,Pilot analysis,"Render, spell-check, commit and push the pilot analysis",Submitter,2026-11-01,2026-11-01,2026-11-01,PA06,Not started,0,Pilot Analysis,"Official due date Sun Nov 1"
FS01,Final survey,"Apply the pilot changes: attributes, levels, question text; regenerate the design for the chosen sample size",Team,2026-11-02,2026-11-07,,PA07,Not started,0,Final Survey,"Class 11 (Nov 4) covers DOE and power analysis"
FS02,Final survey,"Redeploy the final survey; every referenced file on the web; fresh data table; end-to-end test",Account owner,2026-11-08,2026-11-11,,FS01,Not started,0,Final Survey,
FS03,Final survey,"Write the Prolific eligibility text; push the final survey folder",Submitter,2026-11-12,2026-11-14,2026-11-15,FS02,Not started,0,Final Survey,"Official due date Sun Nov 15; the eligibility text is what the professor uses to pre-screen. One day of float by design"
FS04,Final survey,"Fielding on Prolific, arranged through the professor; monitor responses daily",Professor and team,2026-11-17,2026-11-27,,FS03,Not started,0,,"Assumed window; confirm the launch date with the professor at the Nov 11 class"
FA01,Final analysis,"Scaffold clean_data.R, modeling.R, analysis.R and the report skeleton on the pilot data so the final data only needs re-running",Team,2026-11-09,2026-11-21,,PA07,Not started,0,Final Analysis Report,"Logit, mixed logit with random parameters, one sub-group comparison, WTP with 95 percent CIs, market simulation, sensitivity with a tornado plot"
FA02,Final analysis,"Clean the final data; sample description table",Team,2026-11-28,2026-11-29,,FS04;FA01,Not started,0,Final Analysis Report,
FA03,Final analysis,"Run the models on the final data: logit, mixed logit, sub-group comparison",Team,2026-11-30,2026-12-01,,FA02,Not started,0,Final Analysis Report,
FA04,Final analysis,"analysis.R: WTP, market simulation against competitors, price and attribute sensitivity, tornado plot",Team,2026-12-02,2026-12-03,,FA03,Not started,0,Final Analysis Report,"The final exam is in class on Dec 2"
FA05,Final analysis,"report.qmd as narrative: results, recommendations, limitations, attribution, appendix; fully reproducible",Team,2026-12-04,2026-12-05,,FA04,Not started,0,Final Analysis Report,"Rubric 40 pts; 15 percent of the grade; the skeleton from FA01 makes two days enough"
FA06,Final analysis,"Render, spell-check, commit and push the final report",Submitter,2026-12-06,2026-12-06,2026-12-06,FA05,Not started,0,Final Analysis Report,"Official due date Sun Dec 6"
PR01,Presentation,"Build the slides: product intro, example choice question, sample stats, utility model, WTP, simulation, sensitivity, recommendations",Team,2026-12-04,2026-12-06,,FA04,Not started,0,Final Presentation,"Numbered slides; title slide with names and date"
PR02,Presentation,"Rehearse to ten minutes with every member presenting at least one slide",Team,2026-12-07,2026-12-07,,PR01,Not started,0,Final Presentation,
PR03,Presentation,"Push the slides to the official repo",Submitter,2026-12-08,2026-12-08,2026-12-08,PR02,Not started,0,Final Presentation,"Official due date Tue Dec 8"
PR04,Presentation,"Present in class (or send the video link by Slack DM)",Team,2026-12-09,2026-12-09,2026-12-09,PR03,Not started,0,Final Presentation,"Class 16, Dec 9"
O01,Ongoing,"Weekly sync before Wednesday class; decisions copied into decisions/DECISIONS.md the same day",Team,2026-09-16,2026-12-09,,S01,In progress,5,,
O02,Ongoing,"Keep this tracker current: edit the CSVs, re-render, push; one dev log post per work session",Harshit,2026-09-02,2026-12-09,,,In progress,20,,
O03,Ongoing,"Log every member's contributions in CONTRIBUTIONS.md for the Attribution sections",Everyone,2026-09-09,2026-12-09,,S01,In progress,10,,"Unequal contributions do not get equal grades"
